"name","bookname"
"金宇亨.金永洙.趙泰賢","領導病毒-免疫之後.才有真正的領導力"
"克里斯提昂．賴米","家樂福傳奇"
"佐佐木俊尚","Google既有商業模式的破壞者"
"伊方．修納","任信創業法則第一條:員工可以隨時去衝浪"
"村松達夫","再貴也能賣到翻!"
"牛澤毅一郎","把HONDA汽車賣給TOYOTA社長的方法"
"休．麥可勞德","不鳥任何人!創意的40個關鍵"
"安藤俊介","怒氣管理:美國Fortune雜誌500大企業相繼採用!"
"吳翰中","美學CEO:用設計思考.用美學管理"
"吳琍璇","美學CEO:用設計思考.用美學管理"
"根特．法汀","創業其實沒那麼難：小創意勝過大資本"
"babykon","20年.你可以滾了!"
"上村光弼","部屬力一級棒：讓老闆馬上對你另眼相看的職場應對術"
"熊坂仁美","讚的力量-Facebook這樣玩就對了！"
"羅傑．奈倫伯格","指揮台上的管理課"
"KenAuletta","GOOGLE大未來：工程師與企業家的戰爭，將把世界帶向何方？"
"亞當．理查森","X創新：企業逆轉勝的創新獲利密碼"
"平野敦士卡爾","新平台式思考-超出幾百倍成果の不費力思考工作術"
"桶谷功","讓人忍不住掏錢買的心理關鍵—廣告企畫總監打動人心的洞悉力行銷"
"賽門．曼華林","我們優先：如何利用社群媒體讓企業、消費者和全世界三贏"
"「打造我的夢想咖啡館」編輯部","人氣咖啡館成功開店術"
"作者:福永雅文繪者:神崎真理子","打敗大你10倍對手的終極武器-小克大.弱勝強的蘭徹斯特策略"
"馬里奧．普瑞肯","創意CEO2:向全球頂尖高手學創意技法和行銷策略.玩出好創意!"
"南淵明宏","狼vs羊：要做單打獨鬥的獨行狼，還是勝出的領頭羊？"
"和田秀樹","狼vs羊：要做單打獨鬥的獨行狼，還是勝出的領頭羊？"
"日經設計（編）","選對顏色就暢銷！：知名品牌巧妙用色50選，全部公開！"
"「打造我的夢想店鋪」編輯部","超人氣店家成功開業指南"
"本田有明","蘇格拉底辯證交涉術：善用思辨、提問的技術，讓難纏的對手也能乖乖就範"
"林宜璟","為什麼要聽你說？百大企業最受歡迎的簡報課，人人都能成為抓住人心高手！"
"橫山信弘","業績絕對達成的技術──這樣當主管，不僅有業績，部下也同心"
"金勇澈","三星內幕：揭開三星第一的真相"
"馬里奧．普瑞肯","創意CEO：行銷、廣告、媒體、設計的創意管理"
"布萊恩．伯瑞","門口的野蠻人（二十周年紀念版）：當肥貓執行長遇上企業禿鷹"
"約翰．赫萊爾","門口的野蠻人（二十周年紀念版）：當肥貓執行長遇上企業禿鷹"
"約翰．英格杜","老哏玩出新創意：16招終極策略+68個關鍵概念，決定簡報成功的視覺創意法"
"阿川佐和子","阿川流傾聽對話術日本最深入人心的談話性節目女王教你對話的魅力，如何傾聽、如何引起共鳴、卸下心防？"
"布蘭漢","留不住人才，你就賺不到錢！：7大人事管理危機×54招留住人才策略"
"尼爾．史密斯","逆危機：A咖不會做的蠢事，破除企業8大潛藏障礙的12項法則"
"派翠西亞．歐康諾","逆危機：A咖不會做的蠢事，破除企業8大潛藏障礙的12項法則"
"NIKKEIDESIGN","設計是門好生意：Sony、Dyson、Elecom、Kamoimt紙膠帶、無印良品、日清食品等企業CEO決勝商場的25堂設計課"
"尼爾．史密斯","逆危機：A咖不會做的蠢事，破除企業8大潛藏障礙的12項法則"
"派翠西亞．歐康諾","逆危機：A咖不會做的蠢事，破除企業8大潛藏障礙的12項法則"
"村松達夫","再貴也能賣到翻！提高客單價的黃金法則"
"長谷川桂子","賣化妝品給牛：頂尖銷售員的獨門待客術"
"1.牛澤毅一郎2.橫山信弘","業務冠軍的絕學(2冊套書把HONDA汽車賣給TOYOTA社長的方法＋業績絕對達成的技術）"
"蒲島郁夫","我是熊本熊的上司——提拔吉祥物做營業部長，不怕打破盤子的創新精神"
"村山涼一","打動人心！這樣企畫就對了：LINE‧AKB48‧無印良品‧日清食品‧豐田汽車‧麒麟特保可樂‧艾詩緹美妝等領導品牌打敗不景氣的產品熱銷術"
"艾兒莎","挑戰高薪，勇闖新加坡打天下：在新加坡成功找到好工作和打理生活的全方位指南"
"飯田繪美","王貞治的逆境領導學"
"強納生．季福德JonathanGifford","跟世界頂尖CEO學領導：133位成功領導者和管理者的思想精華+100則最重要的領導觀念"
"金勇澈+岩淵秀樹","揭密韓國套書（三星內幕+搶占世界舞台）"
"伍登，詹明信JohnWooden,SteveJamison","團隊，從傳球開始：五百年都難以超越的 UCLA 傳奇教練伍登培養優越人才和團隊的領導心法"
"彼得．馬丁","歷史上的投機事業"
"布魯諾．霍納格","歷史上的投機事業"
"契波拉","金錢的冒險"
"搶錢男","不思議搶錢36計"
"王志鈞","管好你的錢:一生受用的理財計畫"
"比爾．麥奇本","在地的幸福經濟"
"王志鈞","不虧損的基金投資"
"池田曉子","終結貧窮!超實用存錢法"
"熊彼得","經濟發展理論"
"王志鈞","股票這樣買才會賺"
"橘玲","救急!黑色經濟學"
"安東尼.波頓","逆勢出擊-安東尼.波頓投資攻略"
"林總","壽司幹嘛轉來轉去?"
"武井宏文","壽司幹嘛轉來轉去?"
"林總","100元理髮店與美髮沙龍.哪個比較賺錢"
"武井宏文","100元理髮店與美髮沙龍.哪個比較賺錢"
"范．瓊斯","綠領經濟:下一波景氣大復甦的新動力"
"馬克．道格拉斯","賺錢.再自然不過!"
"丹恩．席諾與掃羅","新創企業之國-以色列經濟奇蹟的啟示"
"萊茵哈特＆羅格夫","這次不一樣：金融風暴是可以預測的？"
"陳志武","耶魯老爸的私房財富課"
"本多靜六","生命的活法--日本巨富學人本多靜六的財產告白"
"王福重","經濟學這樣讀才懂"
"馬克．道格拉斯","紀律的交易者-培養贏的態度"
"張維迎","中國市場的邏輯：一位牛津經濟博士的16篇中國經濟批判報告"
"馬克．勒瓦","關於稅.你知道多少？"
"艾里．基輔","贏家:教你摸透詭譎市場的投資心理學"
"森生文乃","行情之神本間宗久翁祕錄：K線酒田戰法之始祖"
"陳江挺","炒股的智慧：炒股是頭腦與人性的雙修(二版）"
"田川美由","開一間屬於自己的店：20幾歲女生的夢想小鋪"
